Provider,Provider ID,Provider Name,Provider Parent Provider,Provider Description,Provider Eligibility,Provider Hours,Provider Intake / Application Process,Provider Languages,Provider Program Fees,Provider Shelter Requirements,Provider Volunteer Opportunities,Provider Website Address,Address Type,Address Line1,Address Line2,Address City,Address Province,Address Postal Code,Address County,Address Is Primary Address,Contact Name,Contact Title,Contact Email,Contact Telephone Number,Contact Is Primary Contact,Telephone Number,Telephone Is Primary Telephone,Service Code,Service Code Description,Service Code Type Service,Service Code Out Of Resource,"Geography Served by State, State Name"
2-1-1 FIRST CALL FOR HELP OF BROWARD(3043),3043,2-1-1 FIRST CALL FOR HELP OF BROWARD,2-1-1 BROWARD(3042),"A 24-hour confidential telephone helpline that provides crisis intervention, information and referral, and confidential services.",Services offered for individuals seeking information on local services provided.,"Office hours: 8:00am-5:00pm, Mon-Fri
Hotline: 24 hours/7 days a week.",Call for information.,"English, Spanish, Creole",Free,,"Yes, contact for information.",www.211-broward.org,Physical,250 NE 33rd Street,211 Broward Administration Office,Fort Lauderdale,FL ,33334,Broward,Yes,Steve Strickland,Director of Information Services,sstrickland@211-broward.org,954-390-7601,Yes,954-390-0499,No,RP-1400.8000-825,Suicide Counseling,Primary Services,No,Florida
2-1-1 FIRST CALL FOR HELP OF BROWARD(3043),3043,2-1-1 FIRST CALL FOR HELP OF BROWARD,2-1-1 BROWARD(3042),"A 24-hour confidential telephone helpline that provides crisis intervention, information and referral, and confidential services.",Services offered for individuals seeking information on local services provided.,"Office hours: 8:00am-5:00pm, Mon-Fri
Hotline: 24 hours/7 days a week.",Call for information.,"English, Spanish, Creole",Free,,"Yes, contact for information.",www.211-broward.org,Physical,250 NE 33rd Street,211 Broward Administration Office,Fort Lauderdale,FL ,33334,Broward,Yes,Sheila J. Smith,President & CEO,sjsmith@211-broward.org,954-390-0493,No,954-390-0499,No,RP-1400.8000-825,Suicide Counseling,Primary Services,No,Florida
2-1-1 FIRST CALL FOR HELP OF BROWARD(3043),3043,2-1-1 FIRST CALL FOR HELP OF BROWARD,2-1-1 BROWARD(3042),"A 24-hour confidential telephone helpline that provides crisis intervention, information and referral, and confidential services.",Services offered for individuals seeking information on local services provided.,"Office hours: 8:00am-5:00pm, Mon-Fri
Hotline: 24 hours/7 days a week.",Call for information.,"English, Spanish, Creole",Free,,"Yes, contact for information.",www.211-broward.org,Physical,250 NE 33rd Street,211 Broward Administration Office,Fort Lauderdale,FL ,33334,Broward,Yes,Steve Strickland,Director of Information Services,sstrickland@211-broward.org,954-390-7601,Yes,954-390-0492,No,RP-1400.8000-825,Suicide Counseling,Primary Services,No,Florida
2-1-1 FIRST CALL FOR HELP OF BROWARD(3043),3043,2-1-1 FIRST CALL FOR HELP OF BROWARD,2-1-1 BROWARD(3042),"A 24-hour confidential telephone helpline that provides crisis intervention, information and referral, and confidential services.",Services offered for individuals seeking information on local services provided.,"Office hours: 8:00am-5:00pm, Mon-Fri
Hotline: 24 hours/7 days a week.",Call for information.,"English, Spanish, Creole",Free,,"Yes, contact for information.",www.211-broward.org,Physical,250 NE 33rd Street,211 Broward Administration Office,Fort Lauderdale,FL ,33334,Broward,Yes,Sheila J. Smith,President & CEO,sjsmith@211-broward.org,954-390-0493,No,954-390-0492,No,RP-1400.8000-825,Suicide Counseling,Primary Services,No,Florida
2-1-1 FIRST CALL FOR HELP OF BROWARD(3043),3043,2-1-1 FIRST CALL FOR HELP OF BROWARD,2-1-1 BROWARD(3042),"A 24-hour confidential telephone helpline that provides crisis intervention, information and referral, and confidential services.",Services offered for individuals seeking information on local services provided.,"Office hours: 8:00am-5:00pm, Mon-Fri
Hotline: 24 hours/7 days a week.",Call for information.,"English, Spanish, Creole",Free,,"Yes, contact for information.",www.211-broward.org,Physical,250 NE 33rd Street,211 Broward Administration Office,Fort Lauderdale,FL ,33334,Broward,Yes,Steve Strickland,Director of Information Services,sstrickland@211-broward.org,954-390-7601,Yes,954-537-0211,Yes,RP-1400.8000-825,Suicide Counseling,Primary Services,No,Florida
2-1-1 FIRST CALL FOR HELP OF BROWARD(3043),3043,2-1-1 FIRST CALL FOR HELP OF BROWARD,2-1-1 BROWARD(3042),"A 24-hour confidential telephone helpline that provides crisis intervention, information and referral, and confidential services.",Services offered for individuals seeking information on local services provided.,"Office hours: 8:00am-5:00pm, Mon-Fri
Hotline: 24 hours/7 days a week.",Call for information.,"English, Spanish, Creole",Free,,"Yes, contact for information.",www.211-broward.org,Physical,250 NE 33rd Street,211 Broward Administration Office,Fort Lauderdale,FL ,33334,Broward,Yes,Sheila J. Smith,President & CEO,sjsmith@211-broward.org,954-390-0493,No,954-537-0211,Yes,RP-1400.8000-825,Suicide Counseling,Primary Services,No,Florida
2-1-1 FIRST CALL FOR HELP OF BROWARD(3043),3043,2-1-1 FIRST CALL FOR HELP OF BROWARD,2-1-1 BROWARD(3042),"A 24-hour confidential telephone helpline that provides crisis intervention, information and referral, and confidential services.",Services offered for individuals seeking information on local services provided.,"Office hours: 8:00am-5:00pm, Mon-Fri
Hotline: 24 hours/7 days a week.",Call for information.,"English, Spanish, Creole",Free,,"Yes, contact for information.",www.211-broward.org,Physical,250 NE 33rd Street,211 Broward Administration Office,Fort Lauderdale,FL ,33334,Broward,Yes,Steve Strickland,Director of Information Services,sstrickland@211-broward.org,954-390-7601,Yes,954-390-0499,No,TJ-3000,Information and Referral,Primary Services,No,Florida
2-1-1 FIRST CALL FOR HELP OF BROWARD(3043),3043,2-1-1 FIRST CALL FOR HELP OF BROWARD,2-1-1 BROWARD(3042),"A 24-hour confidential telephone helpline that provides crisis intervention, information and referral, and confidential services.",Services offered for individuals seeking information on local services provided.,"Office hours: 8:00am-5:00pm, Mon-Fri
Hotline: 24 hours/7 days a week.",Call for information.,"English, Spanish, Creole",Free,,"Yes, contact for information.",www.211-broward.org,Physical,250 NE 33rd Street,211 Broward Administration Office,Fort Lauderdale,FL ,33334,Broward,Yes,Sheila J. Smith,President & CEO,sjsmith@211-broward.org,954-390-0493,No,954-390-0499,No,TJ-3000,Information and Referral,Primary Services,No,Florida
2-1-1 FIRST CALL FOR HELP OF BROWARD(3043),3043,2-1-1 FIRST CALL FOR HELP OF BROWARD,2-1-1 BROWARD(3042),"A 24-hour confidential telephone helpline that provides crisis intervention, information and referral, and confidential services.",Services offered for individuals seeking information on local services provided.,"Office hours: 8:00am-5:00pm, Mon-Fri
Hotline: 24 hours/7 days a week.",Call for information.,"English, Spanish, Creole",Free,,"Yes, contact for information.",www.211-broward.org,Physical,250 NE 33rd Street,211 Broward Administration Office,Fort Lauderdale,FL ,33334,Broward,Yes,Steve Strickland,Director of Information Services,sstrickland@211-broward.org,954-390-7601,Yes,954-390-0492,No,TJ-3000,Information and Referral,Primary Services,No,Florida
2-1-1 FIRST CALL FOR HELP OF BROWARD(3043),3043,2-1-1 FIRST CALL FOR HELP OF BROWARD,2-1-1 BROWARD(3042),"A 24-hour confidential telephone helpline that provides crisis intervention, information and referral, and confidential services.",Services offered for individuals seeking information on local services provided.,"Office hours: 8:00am-5:00pm, Mon-Fri
Hotline: 24 hours/7 days a week.",Call for information.,"English, Spanish, Creole",Free,,"Yes, contact for information.",www.211-broward.org,Physical,250 NE 33rd Street,211 Broward Administration Office,Fort Lauderdale,FL ,33334,Broward,Yes,Sheila J. Smith,President & CEO,sjsmith@211-broward.org,954-390-0493,No,954-390-0492,No,TJ-3000,Information and Referral,Primary Services,No,Florida
2-1-1 FIRST CALL FOR HELP OF BROWARD(3043),3043,2-1-1 FIRST CALL FOR HELP OF BROWARD,2-1-1 BROWARD(3042),"A 24-hour confidential telephone helpline that provides crisis intervention, information and referral, and confidential services.",Services offered for individuals seeking information on local services provided.,"Office hours: 8:00am-5:00pm, Mon-Fri
Hotline: 24 hours/7 days a week.",Call for information.,"English, Spanish, Creole",Free,,"Yes, contact for information.",www.211-broward.org,Physical,250 NE 33rd Street,211 Broward Administration Office,Fort Lauderdale,FL ,33334,Broward,Yes,Steve Strickland,Director of Information Services,sstrickland@211-broward.org,954-390-7601,Yes,954-537-0211,Yes,TJ-3000,Information and Referral,Primary Services,No,Florida
2-1-1 FIRST CALL FOR HELP OF BROWARD(3043),3043,2-1-1 FIRST CALL FOR HELP OF BROWARD,2-1-1 BROWARD(3042),"A 24-hour confidential telephone helpline that provides crisis intervention, information and referral, and confidential services.",Services offered for individuals seeking information on local services provided.,"Office hours: 8:00am-5:00pm, Mon-Fri
Hotline: 24 hours/7 days a week.",Call for information.,"English, Spanish, Creole",Free,,"Yes, contact for information.",www.211-broward.org,Physical,250 NE 33rd Street,211 Broward Administration Office,Fort Lauderdale,FL ,33334,Broward,Yes,Sheila J. Smith,President & CEO,sjsmith@211-broward.org,954-390-0493,No,954-537-0211,Yes,TJ-3000,Information and Referral,Primary Services,No,Florida
UM - MILLER SCHOOL OF MEDICINE - WALKSAFE PROGRAM(2759),2759,UM - MILLER SCHOOL OF MEDICINE - WALKSAFE PROGRAM,UNIVERSITY OF MIAMI - MILLER SCHOOL OF MEDICINE(2758),"Each year, an alarming number of pedestrians under the age of 14 are severely injured or killed in pedestrian-hit-by-car (PHBC) incidents; Florida�??s rates being amongst the highest in the entire country.
 
These injuries and fatalities can be prevented. 

That�??s where WalkSafe comes in. WalkSafe is an elementary school-based program in Florida - created by the University of Miami�??s Miller School of Medicine - which aims to decrease the number of children injured as pedestrians, increase physical activity, and encourage the use of walkable environments. 

###MON###
###COL###",Children ages K-5,"9:00am-5:00pm, Mon-Fri",Call for appointment.,"English, Spanish, and Creole",Free,,Yes,walksafe.us,Physical,1400 NW 10th Avenue,"Dominion Tower - 609A, (R48)",Miami,FL ,33136,Miami-dade,Yes,Gillian Hotz,Research Professor Principal Investigator,GHotz@med.miami.edu,305-243-4004,Yes,305-243-8114,No,JR-8200.8500-650,Pedestrian Safety Education,Primary Services,No,Florida
UM - MILLER SCHOOL OF MEDICINE - WALKSAFE PROGRAM(2759),2759,UM - MILLER SCHOOL OF MEDICINE - WALKSAFE PROGRAM,UNIVERSITY OF MIAMI - MILLER SCHOOL OF MEDICINE(2758),"Each year, an alarming number of pedestrians under the age of 14 are severely injured or killed in pedestrian-hit-by-car (PHBC) incidents; Florida�??s rates being amongst the highest in the entire country.
 
These injuries and fatalities can be prevented. 

That�??s where WalkSafe comes in. WalkSafe is an elementary school-based program in Florida - created by the University of Miami�??s Miller School of Medicine - which aims to decrease the number of children injured as pedestrians, increase physical activity, and encourage the use of walkable environments. 

###MON###
###COL###",Children ages K-5,"9:00am-5:00pm, Mon-Fri",Call for appointment.,"English, Spanish, and Creole",Free,,Yes,walksafe.us,Physical,1400 NW 10th Avenue,"Dominion Tower - 609A, (R48)",Miami,FL ,33136,Miami-dade,Yes,Gillian Hotz,Research Professor Principal Investigator,GHotz@med.miami.edu,305-243-4004,Yes,305-243-8115,Yes,JR-8200.8500-650,Pedestrian Safety Education,Primary Services,No,Florida
ICFH - VIOLENCE PREVENTION - SERIOUS HABITUAL OFFENDER SIBLINGS PROGRAM(119),119,ICFH - VIOLENCE PREVENTION - SERIOUS HABITUAL OFFENDER SIBLINGS PROGRAM,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"SHOSIB is a program that provides wrap-around support and linking services to the siblings and families of Serious Habitual Offenders in the South Dade area. The program is designed to engage the families in pro-social activities and reduce the likelihood of future delinquent activity. The program provides services at home, school, court and the community and uses Family Associates to act as mentors, case managers, liaisons with the community, and role models. The Family Associates match the families' ethnic and cultural backgrounds in order to provide culturally competent services. They are available 24 hours per day, 7 days per week. The maximum length of services for each family is approximately one year or until all goals are achieved.",Siblings of serious habitual offenders and their families.,24 hours 7 days a week,"Accepts referrals, call for information.","English, Spanish, Creole",Free,,"Yes, call for information.",www.icfhinc.org,Physical,ICFH - Serious Habitual Offender Siblings Program,9380 Sunset Drive,Miami,FL ,33173,Miami-dade,Yes,"Marcela Brown, MS",Program Coordinator,mbrown@icfhinc.org,305-274-3172 x4049,Yes,305-274-3172 x4049,Yes,RF-2000,Family Counseling,Primary Services,No,Florida
ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM(122),122,ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"The All-Aboard Family Literacy Program offers a comprehensive literacy based Home Visiting program for families with children ages 0-5 residing at the Community Partnership for the Homeless: Downtown Chapman Center and South Dade Center in Homestead as well as families living within the Comstock Elementary School neighborhoods.  The program focuses on improving the children�??s school readiness and success, while simultaneously supporting and guiding the parents through a child�??s early development.

Primary Services:
1) Home Visits
2) Group Meetings
3) Screenings
4) Access to community resources.",Call for information.,"9:00am-5:00pm, Mon-Fri",Call for information.,"English, Spanish, Creole",Call for information.,,"Yes, call for information.",ICFHinc.org,Mailing,ICFH - All-Aboard Family Literacy Program,15490 NW 7th Avenue,Miami,FL ,33169,Miami-dade,Yes,Marta Fernandez,Coordinator of Educational Services,mfernandez@icfhinc.org,305-687-2227,Yes,305-687-2227,Yes,HL-8700,Tutoring Services,Primary Services,No,Florida
ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM(122),122,ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"The All-Aboard Family Literacy Program offers a comprehensive literacy based Home Visiting program for families with children ages 0-5 residing at the Community Partnership for the Homeless: Downtown Chapman Center and South Dade Center in Homestead as well as families living within the Comstock Elementary School neighborhoods.  The program focuses on improving the children�??s school readiness and success, while simultaneously supporting and guiding the parents through a child�??s early development.

Primary Services:
1) Home Visits
2) Group Meetings
3) Screenings
4) Access to community resources.",Call for information.,"9:00am-5:00pm, Mon-Fri",Call for information.,"English, Spanish, Creole",Call for information.,,"Yes, call for information.",ICFHinc.org,Physical,Community Partnership for the Homeless - South Dade Center,28205 SW 125 Avenue,Homestead,FL ,33033,Miami-dade,No,Marta Fernandez,Coordinator of Educational Services,mfernandez@icfhinc.org,305-687-2227,Yes,305-687-2227,Yes,HL-8700,Tutoring Services,Primary Services,No,Florida
ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM(122),122,ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"The All-Aboard Family Literacy Program offers a comprehensive literacy based Home Visiting program for families with children ages 0-5 residing at the Community Partnership for the Homeless: Downtown Chapman Center and South Dade Center in Homestead as well as families living within the Comstock Elementary School neighborhoods.  The program focuses on improving the children�??s school readiness and success, while simultaneously supporting and guiding the parents through a child�??s early development.

Primary Services:
1) Home Visits
2) Group Meetings
3) Screenings
4) Access to community resources.",Call for information.,"9:00am-5:00pm, Mon-Fri",Call for information.,"English, Spanish, Creole",Call for information.,,"Yes, call for information.",ICFHinc.org,Physical,Community Partnership for the Homeless - Chapman Center,1550 North Miami Avenue,Miami,FL ,33136,Miami-dade,No,Marta Fernandez,Coordinator of Educational Services,mfernandez@icfhinc.org,305-687-2227,Yes,305-687-2227,Yes,HL-8700,Tutoring Services,Primary Services,No,Florida
ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM(122),122,ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"The All-Aboard Family Literacy Program offers a comprehensive literacy based Home Visiting program for families with children ages 0-5 residing at the Community Partnership for the Homeless: Downtown Chapman Center and South Dade Center in Homestead as well as families living within the Comstock Elementary School neighborhoods.  The program focuses on improving the children�??s school readiness and success, while simultaneously supporting and guiding the parents through a child�??s early development.

Primary Services:
1) Home Visits
2) Group Meetings
3) Screenings
4) Access to community resources.",Call for information.,"9:00am-5:00pm, Mon-Fri",Call for information.,"English, Spanish, Creole",Call for information.,,"Yes, call for information.",ICFHinc.org,Physical,Comstock Elementary School,2420 NW 18th Avenue,Miami,FL ,33142,Miami-dade,No,Marta Fernandez,Coordinator of Educational Services,mfernandez@icfhinc.org,305-687-2227,Yes,305-687-2227,Yes,HL-8700,Tutoring Services,Primary Services,No,Florida
ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM(122),122,ICFH - LITERACY AND EDUCATIONAL DEVELOPMENT - ALL-ABOARD FAMILY LITERACY PROGRAM,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"The All-Aboard Family Literacy Program offers a comprehensive literacy based Home Visiting program for families with children ages 0-5 residing at the Community Partnership for the Homeless: Downtown Chapman Center and South Dade Center in Homestead as well as families living within the Comstock Elementary School neighborhoods.  The program focuses on improving the children�??s school readiness and success, while simultaneously supporting and guiding the parents through a child�??s early development.

Primary Services:
1) Home Visits
2) Group Meetings
3) Screenings
4) Access to community resources.",Call for information.,"9:00am-5:00pm, Mon-Fri",Call for information.,"English, Spanish, Creole",Call for information.,,"Yes, call for information.",ICFHinc.org,Mailing,ICFH - All-Aboard Family Literacy Program,15490 NW 7th Avenue,Miami,FL ,33169,Miami-dade,Yes,Marta Fernandez,Coordinator of Educational Services,mfernandez@icfhinc.org,305-687-2227,Yes,305-687-2227,Yes,PH-6100.6800,Parenting Skills Classes,Primary Services,No,Florida
